Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
629,NECK-TIES & HANDKERCHIEFS,SERVICE AND TEXTILE INDUSTRY,765000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NECK-TIES & HANDKERCHIEFS.pdf,PROJECT PROFILE ON NECK-TIES & HANDKERCHIEFS.pdf
630,NEERA CATERING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,631000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NEERA CATERING UNIT.pdf,NEERA CATERING UNIT.pdf
631,NEON SIGN BOARDS,RURAL ENGG. AND BIO-TECH INDUSTRY,407000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON NEON SIGN BOARDS.pdf,PROJECT PROFILE ON NEON SIGN BOARDS.pdf
632,NOODLES MANUFACTURING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,748000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NOODLES MANUFACTURING UNIT.pdf,NOODLES MANUFACTURING UNIT.pdf
633,Nail Paint Remover,Samadhan Projects,2350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NailPaintRemover.pdf,NailPaintRemover.pdf
634,Nail Polish,Samadhan Projects,231000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NailPolish.pdf,NailPolish.pdf
635,Namkeen,Samadhan Projects,1369000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Namkeen.pdf,Namkeen.pdf
636,Napthalene Balls,Samadhan Projects,2400000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NapthaleneBalls.pdf,NapthaleneBalls.pdf
637,Natural Colour_DPR,Samadhan Projects,2002000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NaturalColourDPR.pdf,NaturalColourDPR.pdf
638,Non Woven Bag,Samadhan Projects,2467000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NonWovenBag.pdf,NonWovenBag.pdf
639,Notebook,Samadhan Projects,2434000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Notebook.pdf,Notebook.pdf
640,Notebook Binding,Samadhan Projects,983000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/NotebookBinding.pdf,NotebookBinding.pdf
641,Nutmeg,Samadhan Projects,2265000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Nutmeg.pdf,Nutmeg.pdf
642,OIL CRUSHER / EXPELLER,RURAL ENGG. AND BIO-TECH INDUSTRY,1978000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON OIL CRUSHER  EXPELLER.pdf,PROJECT PROFILE ON OIL CRUSHER  EXPELLER.pdf
643,ONION PASTE MANUFACTURING SCHEME,AGRO BASED FOOD PROCESSING INDUSTRY,419000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ONION PASTE MANUFACTURING SCHEME.pdf,ONION PASTE MANUFACTURING SCHEME.pdf
644,OPHTHALMIC LENS GRINDING,MINERAL BASED INDUSTRY,260000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON OPHTHALMIC LENS GRINDING.pdf,PROJECT PROFILE ON OPHTHALMIC LENS GRINDING.pdf
645,ORGANIC FOOD,AGRO BASED FOOD PROCESSING INDUSTRY,860000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ORGANIC FOOD.pdf,ORGANIC FOOD.pdf
646,OT Table,Samadhan Projects,1856000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/OTTable.pdf,OTTable.pdf
647,Offset Printing unit,Samadhan Projects,975000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/OffsetPrintingunit.pdf,OffsetPrintingunit.pdf
648,Oil Filter,Samadhan Projects,2013000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/OilFilter.pdf,OilFilter.pdf
649,Organic waste compost,Samadhan Projects,407100,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Organicwastecompost.pdf,Organicwastecompost.pdf
650,Oximeter,Samadhan Projects,2446000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Oximeter.pdf,Oximeter.pdf
651,PADDY PROCESSING UNIT. (Mini Rice Mill),AGRO BASED FOOD PROCESSING INDUSTRY,355000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PADDY PROCESSING UNIT.pdf,PADDY PROCESSING UNIT.pdf
652,PALM FIBER BRUSH MAKING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,385000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PALM FIBER BRUSH MAKING UNIT.pdf,PALM FIBER BRUSH MAKING UNIT.pdf
653,PALM JAGGERY (GUR) MAKING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,466000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PALM JAGGERY (GUR) MAKING UNIT.pdf,PALM JAGGERY (GUR) MAKING UNIT.pdf
654,PALM LEAF FANCY AND UTILITY ARTICLES MAKING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,452000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PALM LEAF FANCY AND UTILITY ARTICLES MAKING UNIT.pdf,PALM LEAF FANCY AND UTILITY ARTICLES MAKING UNIT.pdf
655,PALM SUGAR & PALM CONFECTIONERY UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,357000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PALM SUGAR & PALM CONFECTIONERY UNIT.pdf,PALM SUGAR & PALM CONFECTIONERY UNIT.pdf
656,PAPAD MANUFACTURING,AGRO BASED FOOD PROCESSING INDUSTRY,200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PAPAD MANUFACTURING.pdf,PAPAD MANUFACTURING.pdf
657,PCO MONITOR,RURAL ENGG. AND BIO-TECH INDUSTRY,1805000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PCO MONITOR.pdf,PROJECT PROFILE ON PCO MONITOR.pdf
658,PERFUMERY COMPOUND,POLYMER AND CHEMICAL BASED INDUSTRY,1816667,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PERFUMERY COMPOUND.pdf,PROJECT PROFILE ON PERFUMERY COMPOUND.pdf
659,PERSONNELCOMPUTERS ASSEMBLY,RURAL ENGG. AND BIO-TECH INDUSTRY,2025000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PERSONNELCOMPUTERS ASSEMBLY.pdf,PROJECT PROFILE ON PERSONNELCOMPUTERS ASSEMBLY.pdf
660,PET Bottles,Samadhan Projects,4612000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PETBottles.pdf,PETBottles.pdf
661,PET Preforms,Samadhan Projects,4625000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PETPreforms.pdf,PETPreforms.pdf
662,PETHA MANACTURING,AGRO BASED FOOD PROCESSING INDUSTRY,725000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PETHA MANACTURING.pdf,PROJECT PROFILE ON PETHA MANACTURING.pdf
663,PETHA MANUFACTURING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,187000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PETHA MANUFACTURING UNIT.pdf,PETHA MANUFACTURING UNIT.pdf
664,PHOSPHOR BRONZE BUSHES,RURAL ENGG. AND BIO-TECH INDUSTRY,1567000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PHOSPHOR BRONZE BUSHES.pdf,PROJECT PROFILE ON PHOSPHOR BRONZE BUSHES.pdf
665,PICKLE MANUFACTURING SCHEME,AGRO BASED FOOD PROCESSING INDUSTRY,514000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PICKLE MANUFACTURING SCHEME.pdf,PICKLE MANUFACTURING SCHEME.pdf
666,PLASTER BOARDS ( ROOFING),MINERAL BASED INDUSTRY,135000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PLASTER BOARDS ( ROOFING).pdf,PROJECT PROFILE ON PLASTER BOARDS ( ROOFING).pdf
667,PLASTER OF PARIS,MINERAL BASED INDUSTRY,413000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PLASTER OF PARIS.pdf,PROJECT PROFILE ON PLASTER OF PARIS.pdf
668,PLASTER OF PARIS ( B type),MINERAL BASED INDUSTRY,1350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PLASTER OF PARIS ( B type).pdf,PROJECT PROFILE ON PLASTER OF PARIS ( B type).pdf
669,PLASTER OF PARIS TOYS & SMALL STATUS,MINERAL BASED INDUSTRY,350000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PLASTER OF PARIS TOYS & SMALL STATUS.pdf,PROJECT PROFILE ON PLASTER OF PARIS TOYS & SMALL STATUS.pdf
670,PLUMBING,SERVICE AND TEXTILE INDUSTRY,93000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PLUMBING.pdf,PLUMBING.pdf
671,POHA MANUFACTURING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,243000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/POHA MANUFACTURING UNIT.pdf,POHA MANUFACTURING UNIT.pdf
672,POPCORN MANUFACTURING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,428000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/POPCORN MANUFACTURING UNIT.pdf,POPCORN MANUFACTURING UNIT.pdf
673,POTATO CHIPS/WAFER MANUFACTURING,AGRO BASED FOOD PROCESSING INDUSTRY,338500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/POTATO CHIPSWAFER MANUFACTURING.pdf,POTATO CHIPSWAFER MANUFACTURING.pdf
674,POTATO/BANANA WAFERS,AGRO BASED FOOD PROCESSING INDUSTRY,1038000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/POTATOBANANA WAFERS.pdf,POTATOBANANA WAFERS.pdf
675,POWER ATTA CHAKKI,AGRO BASED FOOD PROCESSING INDUSTRY,90000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/POWER ATTA CHAKKI.pdf,POWER ATTA CHAKKI.pdf
676,PP Blow Molding Container,Samadhan Projects,3867000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PPBlowMoldingContainer.pdf,PPBlowMoldingContainer.pdf
677,PP Box Strapping,Samadhan Projects,4416000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PPBoxStrapping.pdf,PPBoxStrapping.pdf
678,PP Drinking Straw,Samadhan Projects,2444000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PPDrinkingStraw.pdf,PPDrinkingStraw.pdf
679,PP woven Bag_Plastic,Samadhan Projects,5000000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PPwovenBagPlastic.pdf,PPwovenBagPlastic.pdf
680,PRE STRESSED CEMENT CONCRETE BLOCK,MINERAL BASED INDUSTRY,1010000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRE STRESSED CEMENT CONCRETE BLOCK.pdf,PROJECT PROFILE ON PRE STRESSED CEMENT CONCRETE BLOCK.pdf
681,PRE-FABRICATAD BUILDING MATERIALS,MINERAL BASED INDUSTRY,340000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRE-FABRICATAD BUILDING MATERIALS.pdf,PROJECT PROFILE ON PRE-FABRICATAD BUILDING MATERIALS.pdf
682,PRODUCTION OF BAMBOO MAT BOARD UNIT,FOREST BASED INDUSTRY,996000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PRODUCTION OF BAMBOO MAT BOARD UNIT.pdf,PRODUCTION OF BAMBOO MAT BOARD UNIT.pdf
683,PRODUCTION OF ENRICHED BIODIGESTED SLURRY UNDER REBT (BIO-TECHNOLOGY WING),RURAL ENGG. AND BIO-TECH INDUSTRY,937000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRODUCTION OF ENRICHED BIODIGESTED.pdf,PROJECT PROFILE ON PRODUCTION OF ENRICHED BIODIGESTED.pdf
684,PRODUCTION OF ENRICHED BIODIGESTED SLURRY UNDER REBT (BIO-TECHNOLOGY WING),RURAL ENGG. AND BIO-TECH INDUSTRY,230000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRODUCTION OF ENRICHED BIODIGESTED 1.pdf,PROJECT PROFILE ON PRODUCTION OF ENRICHED BIODIGESTED 1.pdf
685,PRODUCTION OF GASKET SHELLAC COMPOUND (GASKET CEMENT),MINERAL BASED INDUSTRY,167000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PRODUCTION OF GASKET SHELLAC COMPOUND (GASKET CEMENT).pdf,PRODUCTION OF GASKET SHELLAC COMPOUND (GASKET CEMENT).pdf
686,PRODUCTION OF LAC,FOREST BASED INDUSTRY,514000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRODUCTION OF LAC.pdf,PROJECT PROFILE ON PRODUCTION OF LAC.pdf
687,PRODUCTION OF OXALIC ACID,POLYMER AND CHEMICAL BASED INDUSTRY,1450000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PRODUCTION OF OXALIC ACID.pdf,PRODUCTION OF OXALIC ACID.pdf
688,PRODUCTION OF SHELLAC VARNISH (FRENCH POLISH IMPROVED QUALITY),FOREST BASED INDUSTRY,368000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON PRODUCTION OF SHELLAC VARNISH.pdf,PROJECT PROFILE ON PRODUCTION OF SHELLAC VARNISH.pdf
689,PRODUCTION OF TWO IN ONE RADIO & TAPE RECORDER,RURAL ENGG. AND BIO-TECH INDUSTRY,650000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PRODUCTION OF TWO IN ONE RADIO & TAPE RECORDER.pdf,PRODUCTION OF TWO IN ONE RADIO & TAPE RECORDER.pdf
