Serial Number,Project Name,Category/Company,Amount/Value,PDF Link,PDF Filename
273,Coldpress Seasame Oil,Samadhan Projects,1239000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColdpressSeasameOil.pdf,ColdpressSeasameOil.pdf
274,Coloring and Dyeing_DPR,Samadhan Projects,1586000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ColoringandDyeingDPR.pdf,ColoringandDyeingDPR.pdf
275,Compostable bags,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Compostablebags.pdf,Compostablebags.pdf
276,Computer Business Center,Samadhan Projects,503300,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Computerbusinesscenter.pdf,Computerbusinesscenter.pdf
277,Computer Hardware Service Center,Samadhan Projects,512700,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerHardwareServiceCenter.pdf,ComputerHardwareServiceCenter.pdf
278,Computer Stationery,Samadhan Projects,2356000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerStationery.pdf,ComputerStationery.pdf
279,Computer Training Institute,Samadhan Projects,1772000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ComputerTrainingInstitute.pdf,ComputerTrainingInstitute.pdf
280,Concertina Wire,Samadhan Projects,2067000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ConcertinaWire.pdf,ConcertinaWire.pdf
281,Confectionery_agro,Samadhan Projects,2000000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Confectioneryagro.pdf,Confectioneryagro.pdf
282,Connecting Rod,Samadhan Projects,2186000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ConnectingRod.pdf,ConnectingRod.pdf
283,Cookies Project,Samadhan Projects,1294000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CookiesProject.pdf,CookiesProject.pdf
284,Cooler Pump,Samadhan Projects,1379000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CoolerPump.pdf,CoolerPump.pdf
285,Copper Bottles & Jugs,Samadhan Projects,1874000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CopperBottles&Jugs.pdf,CopperBottles&Jugs.pdf
286,Copper Powder,Samadhan Projects,1856000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CopperPowder.pdf,CopperPowder.pdf
287,Cordless Phone,Samadhan Projects,2369000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CordlessPhone.pdf,CordlessPhone.pdf
288,Coriander Powder final,Samadhan Projects,2168000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorianderPowderfinal.pdf,CorianderPowderfinal.pdf
290,Corn Puff Unit,Samadhan Projects,2366000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CornPuffUnit.pdf,CornPuffUnit.pdf
291,Corrugated Boxes,Samadhan Projects,2484000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CorrugatedBoxes.pdf,CorrugatedBoxes.pdf
292,Cotton Bags,Samadhan Projects,2044000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonBags.pdf,CottonBags.pdf
293,Cotton Swabs,Samadhan Projects,2492000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonSwabs.pdf,CottonSwabs.pdf
294,Cotton Wicks,Samadhan Projects,100000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CottonWicks.pdf,CottonWicks.pdf
295,Cricket Bat,Samadhan Projects,1982000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CricketBat.pdf,CricketBat.pdf
298,Cumin Cleaning & Processing Unit,Samadhan Projects,2396000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CuminCleaning&ProcessingUnit.pdf,CuminCleaning&ProcessingUnit.pdf
299,Curd unit,Samadhan Projects,1057000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Curdunit.pdf,Curdunit.pdf
300,Curled Coir Rope,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CurledCoirRope.pdf,CurledCoirRope.pdf
301,Curtain Making_DPR,Samadhan Projects,950000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CurtainMakingDPR.pdf,CurtainMakingDPR.pdf
302,Cushion Cover_DPR,Samadhan Projects,820000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/CushionCoverDPR.pdf,CushionCoverDPR.pdf
303,DALIYA MANUFACTURING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,240000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DALIYA MANUFACTURING UNIT.pdf,DALIYA MANUFACTURING UNIT.pdf
304,DECORATIVE GLASSWARE,MINERAL BASED INDUSTRY,1620000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DECORATIVE GLASSWARE.pdf,PROJECT PROFILE ON DECORATIVE GLASSWARE.pdf
305,DIGITAL CLOCK,RURAL ENGG. AND BIO-TECH INDUSTRY,250000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DIGITAL CLOCK .pdf,PROJECT PROFILE ON DIGITAL CLOCK .pdf
306,DIGITAL PANEL METERS,RURAL ENGG. AND BIO-TECH INDUSTRY,365000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DIGITAL PANEL METERS.pdf,PROJECT PROFILE ON DIGITAL PANEL METERS.pdf
307,DOMESTIC ELECTRONIC TIMER,RURAL ENGG. AND BIO-TECH INDUSTRY,160000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DOMESTIC ELECTRONIC TIMER.pdf,PROJECT PROFILE ON DOMESTIC ELECTRONIC TIMER.pdf
308,DRAWING BOARDS,RURAL ENGG. AND BIO-TECH INDUSTRY,905000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON DRAWING BOARDS.pdf,PROJECT PROFILE ON DRAWING BOARDS.pdf
309,Dairy Farm Cow,Samadhan Projects,500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DairyFarmCow.pdf,DairyFarmCow.pdf
310,Dairy Farm Unit (Buffalo),Samadhan Projects,1110000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DairyFarmUnitBuffalo.pdf,DairyFarmUnitBuffalo.pdf
311,Dal mill,Samadhan Projects,5536000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Dalmill.pdf,Dalmill.pdf
312,Daliya manufacturing,Samadhan Projects,1705000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Daliyamanufacturing.pdf,Daliyamanufacturing.pdf
313,Dalley Khorsani Pickle,Samadhan Projects,2257000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DalleyKhorsaniPickle.pdf,DalleyKhorsaniPickle.pdf
314,Dehydrated Vegetables,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DehydratedVegetables.pdf,DehydratedVegetables.pdf
315,Denim Garments,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DenimGarments.pdf,DenimGarments.pdf
316,Desiccated Coconut Powder,Samadhan Projects,1444000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DesiccatedCoconutPowder.pdf,DesiccatedCoconutPowder.pdf
317,Detergent Powder,Samadhan Projects,1022700,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DetergentPowder.pdf,DetergentPowder.pdf
318,Detergent cake,Samadhan Projects,1177000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Detergentcake.pdf,Detergentcake.pdf
319,Dholak Manufacturing Unit Final,Samadhan Projects,589000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DholakManufacturingUnitFinal.pdf,DholakManufacturingUnitFinal.pdf
320,Dhoop Batti,Samadhan Projects,1300000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DhoopBatti.pdf,DhoopBatti.pdf
321,Disposable Plastic Syringes,Samadhan Projects,3444000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DisposablePlasticSyringes.pdf,DisposablePlasticSyringes.pdf
322,Disposable Plates & Dona,Samadhan Projects,535000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DisposablePlatesDona.pdf,DisposablePlatesDona.pdf
323,Dog grooming centre,Samadhan Projects,1988000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DogGroomingCentre.pdf,DogGroomingCentre.pdf
324,Domestic Pressure Cooker,Samadhan Projects,2740000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DomesticPressureCooker.pdf,DomesticPressureCooker.pdf
325,Dry Cleaners,Samadhan Projects,997000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryCleaners.pdf,DryCleaners.pdf
326,Dry Distemper,Samadhan Projects,2444000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DryDistemper.pdf,DryDistemper.pdf
327,Duplex Board,Samadhan Projects,1579000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/DuplexBoard.pdf,DuplexBoard.pdf
328,ELCTRONIC CALCULATORS (POCKET/DESK TOP),RURAL ENGG. AND BIO-TECH INDUSTRY,1722000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELCTRONIC CALCULATORS (POCKETDESK TOP).pdf,PROJECT PROFILE ON ELCTRONIC CALCULATORS (POCKETDESK TOP).pdf
329,ELECTRIC TANDOOR,RURAL ENGG. AND BIO-TECH INDUSTRY,786500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRIC TANDOOR.pdf,ELECTRIC TANDOOR.pdf
330,ELECTRO STATIC POWDER COATING,SERVICE AND TEXTILE INDUSTRY,770000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRO STATIC POWDER COATING.pdf,ELECTRO STATIC POWDER COATING.pdf
331,ELECTROLESS NICKEL PLATING,MINERAL BASED INDUSTRY,1260000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTROLESS NICKEL PLATING.pdf,PROJECT PROFILE ON ELECTROLESS NICKEL PLATING.pdf
332,ELECTRONIC DOOR BELLS,RURAL ENGG. AND BIO-TECH INDUSTRY,160000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC DOOR BELLS.pdf,PROJECT PROFILE ON ELECTRONIC DOOR BELLS.pdf
333,ELECTRONIC FAN REGULATOR & LIGHT DIMMERS,RURAL ENGG. AND BIO-TECH INDUSTRY,130000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC FAN REGULATOR & LIGHT DIMMERS.pdf,PROJECT PROFILE ON ELECTRONIC FAN REGULATOR & LIGHT DIMMERS.pdf
334,ELECTRONIC GAS LIGHTERS,SERVICE AND TEXTILE INDUSTRY,473400,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRONIC GAS LIGHTERS.pdf,ELECTRONIC GAS LIGHTERS.pdf
335,ELECTRONIC GATE SECURITY SYSTEMS,RURAL ENGG. AND BIO-TECH INDUSTRY,366000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC GATE SECURITY SYSTEMS.pdf,PROJECT PROFILE ON ELECTRONIC GATE SECURITY SYSTEMS.pdf
336,ELECTRONIC REPAIR UNIT,SERVICE AND TEXTILE INDUSTRY,113000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ELECTRONIC REPAIR UNIT.pdf,ELECTRONIC REPAIR UNIT.pdf
337,ELECTRONIC VIBRATION METERS/ANALYZER,RURAL ENGG. AND BIO-TECH INDUSTRY,933000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC VIBRATION METERSANALYZER.pdf,PROJECT PROFILE ON ELECTRONIC VIBRATION METERSANALYZER.pdf
338,ELECTRONIC WEIGHING MACHINE,RURAL ENGG. AND BIO-TECH INDUSTRY,285000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC WEIGHING MACHINE.pdf,PROJECT PROFILE ON ELECTRONIC WEIGHING MACHINE.pdf
339,ELECTRONIC WEIGHING SCALES,SERVICE AND TEXTILE INDUSTRY,679000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ELECTRONIC WEIGHING SCALES.pdf,PROJECT PROFILE ON ELECTRONIC WEIGHING SCALES.pdf
340,ENGINE MOUNTING-RUBBER BONDED,POLYMER AND CHEMICAL BASED INDUSTRY,885000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ENGINE MOUNTING-RUBBER BONDED.pdf,PROJECT PROFILE ON ENGINE MOUNTING-RUBBER BONDED.pdf
341,ENGINE MOUNTING-RUBBER BONDED,POLYMER AND CHEMICAL BASED INDUSTRY,885000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON ENGINE MOUNTING-RUBBER BONDED.pdf,PROJECT PROFILE ON ENGINE MOUNTING-RUBBER BONDED.pdf
342,ESTABLISHMENT OF DHABA,SERVICE AND TEXTILE INDUSTRY,578500,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ESTABLISHMENT OF DHABA.pdf,ESTABLISHMENT OF DHABA.pdf
343,EV Charging Station,Samadhan Projects,1733000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EVChargingStation.pdf,EVChargingStation.pdf
344,EXHAUST FANS,RURAL ENGG. AND BIO-TECH INDUSTRY,650000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON EXHAUST FANS.pdf,PROJECT PROFILE ON EXHAUST FANS.pdf
345,EXTRUDED SNACKS,AGRO BASED FOOD PROCESSING INDUSTRY,2445000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON EXTRUDED SNACKS.pdf,PROJECT PROFILE ON EXTRUDED SNACKS.pdf
346,Egg tray,Samadhan Projects,3160000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Eggtray.pdf,Eggtray.pdf
347,Electric Door Chimes,Samadhan Projects,1459000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricDoorChimes.pdf,ElectricDoorChimes.pdf
348,Electric Iron,Samadhan Projects,2944000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricIron.pdf,ElectricIron.pdf
349,Electric Kettle,Samadhan Projects,2089000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricKettle.pdf,ElectricKettle.pdf
350,Electric Tandoor,Samadhan Projects,1480000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricTandoor.pdf,ElectricTandoor.pdf
351,Electric Toaster,Samadhan Projects,3233000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricToaster.pdf,ElectricToaster.pdf
352,Electrical Motor Winding,Samadhan Projects,852000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectricalMotorWinding.pdf,ElectricalMotorWinding.pdf
353,Electronic Weighing Scale,Samadhan Projects,2449000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ElectronicWeighingScale.pdf,ElectronicWeighingScale.pdf
354,Energy Foods,Samadhan Projects,2220000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EnergyFoods.pdf,EnergyFoods.pdf
355,Engine Coolant,Samadhan Projects,2486000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EngineCoolant.pdf,EngineCoolant.pdf
356,Engine Flushing Oil,Samadhan Projects,2487000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EngineFlushingOil.pdf,EngineFlushingOil.pdf
357,Evaporated Milk,Samadhan Projects,2151000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/EvaporatedMilk.pdf,EvaporatedMilk.pdf
358,Extension Board,Samadhan Projects,2486000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/ExtensionBoard.pdf,ExtensionBoard.pdf
359,FACE CREAM AND CLEANSING LOTION,POLYMER AND CHEMICAL BASED INDUSTRY,2366000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FACE CREAM AND CLEANSING LOTION.pdf,PROJECT PROFILE ON FACE CREAM AND CLEANSING LOTION.pdf
360,FACE CREAM AND CLEANSING LOTION,POLYMER AND CHEMICAL BASED INDUSTRY,2366000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FACE CREAM AND CLEANSING LOTION.pdf,PROJECT PROFILE ON FACE CREAM AND CLEANSING LOTION.pdf
361,FANCY LEATHER GLOVES,POLYMER AND CHEMICAL BASED INDUSTRY,1566000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FANCY LEATHER GLOVES.pdf,PROJECT PROFILE ON FANCY LEATHER GLOVES.pdf
362,FANCY LEATHER GLOVES,POLYMER AND CHEMICAL BASED INDUSTRY,1566000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FANCY LEATHER GLOVES.pdf,PROJECT PROFILE ON FANCY LEATHER GLOVES.pdf
363,FANCY TERRACOTTA & UTILITY ARTICLES,MINERAL BASED INDUSTRY,383000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FANCY TERRACOTTA & UTILITY ARTICLES.pdf,FANCY TERRACOTTA & UTILITY ARTICLES.pdf
364,FILTERS FOR AIR CONDITIONERS SERVICE,SERVICE AND TEXTILE INDUSTRY,1228000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FILTERS FOR AIR CONDITIONERS SERVICE.pdf,PROJECT PROFILE ON FILTERS FOR AIR CONDITIONERS SERVICE.pdf
365,FLOOR POLISH,POLYMER AND CHEMICAL BASED INDUSTRY,943000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FLOOR POLISH.pdf,PROJECT PROFILE ON FLOOR POLISH.pdf
366,FLOOR POLISH,POLYMER AND CHEMICAL BASED INDUSTRY,943000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FLOOR POLISH.pdf,PROJECT PROFILE ON FLOOR POLISH.pdf
367,FLY ASH BRICKS,MINERAL BASED INDUSTRY,2030000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FLY ASH BRICKS.pdf,PROJECT PROFILE ON FLY ASH BRICKS.pdf
368,FOOT WEAR & LEATHER,POLYMER AND CHEMICAL BASED INDUSTRY,0,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FOOT WEAR & LEATHER .pdf,PROJECT PROFILE ON FOOT WEAR & LEATHER .pdf
369,FORGING BLANKS FOR SPUR GEARS,RURAL ENGG. AND BIO-TECH INDUSTRY,1787900,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FORGING BLANKS FOR SPUR GEARS.pdf,PROJECT PROFILE ON FORGING BLANKS FOR SPUR GEARS.pdf
370,FRUIT BARS,AGRO BASED FOOD PROCESSING INDUSTRY,1282000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON FRUIT BARS.pdf,PROJECT PROFILE ON FRUIT BARS.pdf
371,FRYMES MANUFACTURING UNIT,AGRO BASED FOOD PROCESSING INDUSTRY,732000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FRYMES MANUFACTURING UNIT.pdf,FRYMES MANUFACTURING UNIT.pdf
372,Fabrication of Grills,Samadhan Projects,4384000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FabricationofGrills.pdf,FabricationofGrills.pdf
373,Face wash,Samadhan Projects,1795000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Facewash.pdf,Facewash.pdf
374,Feather Shuttle cock,Samadhan Projects,1200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FeatherShuttlecock.pdf,FeatherShuttlecock.pdf
375,Fenugreek Powder,Samadhan Projects,2019000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FenugreekPowder.pdf,FenugreekPowder.pdf
376,Fibre Extraction_DPR,Samadhan Projects,1182000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FibreExtractionDPR.pdf,FibreExtractionDPR.pdf
377,Flex Printing Business,Samadhan Projects,972000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FlexPrintingBusiness.pdf,FlexPrintingBusiness.pdf
378,Floor cleaner,Samadhan Projects,453000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Floorcleaner.pdf,Floorcleaner.pdf
379,Flour Mill,Samadhan Projects,3293000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FlourMill.pdf,FlourMill.pdf
380,Flute Making Unit,Samadhan Projects,933000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FluteMakingUnit.pdf,FluteMakingUnit.pdf
381,Fly Ash bricks,Samadhan Projects,3630000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FlyAshbricks.pdf,FlyAshbricks.pdf
382,Foam Mattress,Samadhan Projects,1544000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FoamMattress.pdf,FoamMattress.pdf
383,Food Storage Containers,Samadhan Projects,2411000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FoodStorageContainers.pdf,FoodStorageContainers.pdf
384,Food Truck Business,Samadhan Projects,984000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FoodTruckBusiness.pdf,FoodTruckBusiness.pdf
385,Foot Pedalled Sanitizer,Samadhan Projects,1044000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FootPedalledSanitizer.pdf,FootPedalledSanitizer.pdf
386,French Fries,Samadhan Projects,1180000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FrenchFries.pdf,FrenchFries.pdf
387,Fruit Vinegar,Samadhan Projects,1555000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/FruitVinegar.pdf,FruitVinegar.pdf
388,GALVENIZED IRON ROOFING SHEETS,Samadhan Projects,2340000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GALVENIZEDIRONROOFINGSHEETS.pdf,GALVENIZEDIRONROOFINGSHEETS.pdf
389,GARDEN CHAIR,RURAL ENGG. AND BIO-TECH INDUSTRY,185000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GARDEN CHAIR.pdf,PROJECT PROFILE ON GARDEN CHAIR.pdf
390,GEM CUTTING AND POLISHING,MINERAL BASED INDUSTRY,1620000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GEM CUTTING AND POLISHING.pdf,PROJECT PROFILE ON GEM CUTTING AND POLISHING.pdf
391,GENT'S SHIRTS,SERVICE AND TEXTILE INDUSTRY,745000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GENT'S SHIRTS.pdf,PROJECT PROFILE ON GENT'S SHIRTS.pdf
392,GENTS T SHIRTS,SERVICE AND TEXTILE INDUSTRY,940000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GENTS T SHIRTS.pdf,PROJECT PROFILE ON GENTS T SHIRTS.pdf
393,GINGER AND GARLIC PROCESSING,AGRO BASED FOOD PROCESSING INDUSTRY,954000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GINGER AND GARLIC PROCESSING.pdf,PROJECT PROFILE ON GINGER AND GARLIC PROCESSING.pdf
394,GINGILEE OIL AND OIL CAKE MANUAFCURING,AGRO BASED FOOD PROCESSING INDUSTRY,1950000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GINGILEE OIL AND OIL CAKE MANUAFCURING.pdf,PROJECT PROFILE ON GINGILEE OIL AND OIL CAKE MANUAFCURING.pdf
395,GP Bucket,Samadhan Projects,1284000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GPBucket.pdf,GPBucket.pdf
396,GROUNDNUT OIL AND OIL CAKE MANUAFCURING,AGRO BASED FOOD PROCESSING INDUSTRY,1950000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GROUNDNUT OIL AND OIL CAKE MANUAFCURING.pdf,PROJECT PROFILE ON GROUNDNUT OIL AND OIL CAKE MANUAFCURING.pdf
397,GULKAND,AGRO BASED FOOD PROCESSING INDUSTRY,154000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT PROFILE ON GULKAND.pdf,PROJECT PROFILE ON GULKAND.pdf
398,Gajak final,Samadhan Projects,2237000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Gajakfinal.pdf,Gajakfinal.pdf
399,Galvanized steel wire,Samadhan Projects,4978000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Galvanizedsteelwire.pdf,Galvanizedsteelwire.pdf
400,Garlic Powder,Samadhan Projects,2181000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GarlicPowder.pdf,GarlicPowder.pdf
401,Garlic Powder & Flakes,Samadhan Projects,2500000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GarlicPowderFlakes.pdf,GarlicPowderFlakes.pdf
402,Gas Lighter,Samadhan Projects,1200000,https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/GasLighter.pdf,GasLighter.pdf
